age_in_days,asset.display_fqdn,asset.display_ipv4_address,asset.display_ipv6_address,asset.display_mac_address,asset.host_name,asset.id,asset.ipv4_addresses,asset.ipv6_addresses,asset.last_authenticated_scan_time,asset.last_licensed_scan_time,asset.name,asset.netbios_name,asset.network.id,asset.network.name,asset.operating_system,asset.operating_systems,asset.system_type,asset.tags,asset_inventory,default_account,definition.bugtraq,definition.cpe,definition.cve,definition.cvss2.base_score,definition.cvss2.base_vector,definition.cvss2.temporal_score,definition.cvss2.temporal_vector,definition.cvss3.base_score,definition.cvss3.base_vector,definition.cvss3.temporal_score,definition.cvss3.temporal_vector,definition.cvss4.base_score,definition.cvss4.base_vector,definition.cwe,definition.description,definition.epss.score,definition.exploitability_ease,definition.exploited_by_malware,definition.exploited_by_nessus,definition.family,definition.iava,definition.iavb,definition.iavm,definition.iavt,definition.id,definition.in_the_news,definition.malware,definition.name,definition.patch_published,definition.plugin_published,definition.plugin_updated,definition.plugin_version,definition.references,definition.see_also,definition.severity,definition.solution,definition.stig_severity,definition.synopsis,definition.type,definition.unsupported_by_vendor,definition.vpr.drivers_age_of_vulns_high,definition.vpr.drivers_age_of_vulns_low,definition.vpr.drivers_cvss3_impact_score,definition.vpr.drivers_exploit_code_maturity,definition.vpr.drivers_product_coverage,definition.vpr.drivers_threat_intensity,definition.vpr.drivers_threat_recency_high,definition.vpr.drivers_threat_recency_low,definition.vpr.drivers_threat_sources,definition.vpr.score,definition.vpr_v2.drivers_cve_id,definition.vpr_v2.drivers_exploit_chain,definition.vpr_v2.drivers_exploit_code_maturity,definition.vpr_v2.drivers_exploit_probability,definition.vpr_v2.drivers_in_the_news_intensity_last_30,definition.vpr_v2.drivers_in_the_news_recency,definition.vpr_v2.drivers_in_the_news_sources_last_30,definition.vpr_v2.drivers_malware_observations_intensity_last_30,definition.vpr_v2.drivers_malware_observations_recency,definition.vpr_v2.drivers_on_cisa_kev,definition.vpr_v2.drivers_targeted_industries,definition.vpr_v2.drivers_targeted_regions,definition.vpr_v2.drivers_vpr_percentile,definition.vpr_v2.drivers_vpr_severity,definition.vpr_v2.score,definition.vulnerability_published,definition.workaround,definition.workaround_published,definition.workaround_type,first_observed,id,last_fixed,last_seen,output,port,protocol,recast_reason,resurfaced_date,risk_modified,scan.id,scan.target,severity,software_vulns,source,state,time_to_fix,vuln_age,vuln_sla_date
60,asset-001.corp.local,10.20.11.21,,00:16:3e:01:bb:05,asset-001,asset-0001,10.20.11.21,,2026-05-31,2026-05-31,asset-001.corp.local,ASSET-001,default,Corporate,Windows Server 2019,Windows Server 2019,server,mva-sample,,,90001,cpe:/a:mva:web_servers,CVE-2020-1938,9.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,E:F/RL:OF/RC:C,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,E:F/RL:O/RC:C,9.4,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,Apache Tomcat AJP Request Injection was identified during the monthly vulnerability report.,0.891,Functional,false,true,Web Servers,,,,,200001,false,false,Apache Tomcat AJP Request Injection,2026-01-20,2026-02-01,2026-05-31,1.0,https://tomcat.apache.org/security-9.html,https://tomcat.apache.org/security-9.html,Critical,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Critical,Apache Tomcat AJP Request Injection,remote,false,,,,,,,,,,9.8,CVE-2020-1938,,Functional,0.95,,,,,,false,,,,,9.8,2025-01-15,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",2026-01-20,patch,2026-04-01,vuln-200001-10.20.11.21,,2026-05-31,Apache Tomcat AJP Request Injection detected on 10.20.11.21:8009.,8009,tcp,,,false,scan-202605,10.20.11.21,Critical,true,tenable.io,open,,60,2026-05-01
59,asset-002.corp.local,10.20.12.22,,00:16:3e:02:bb:0a,asset-002,asset-0002,10.20.12.22,,2026-05-31,2026-05-31,asset-002.corp.local,ASSET-002,default,Corporate,Ubuntu 22.04,Ubuntu 22.04,server,mva-sample,,,90002,cpe:/a:mva:web_servers,CVE-2021-44228,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,E:F/RL:OF/RC:C,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,E:F/RL:O/RC:C,8.0,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,Apache Log4j Remote Code Execution was identified during the monthly vulnerability report.,0.709,Functional,false,true,Web Servers,,,,,200002,false,false,Apache Log4j Remote Code Execution,2026-01-20,2026-02-01,2026-05-31,1.0,https://logging.apache.org/log4j/2.x/security.html,https://logging.apache.org/log4j/2.x/security.html,High,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",High,Apache Log4j Remote Code Execution,remote,false,,,,,,,,,,7.8,CVE-2021-44228,,Functional,0.78,,,,,,false,,,,,7.8,2025-01-15,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",2026-01-20,patch,2026-04-02,vuln-200002-10.20.12.22,,2026-05-31,Apache Log4j Remote Code Execution detected on 10.20.12.22:8080.,8080,tcp,,,false,scan-202605,10.20.12.22,High,true,tenable.io,open,,59,2026-05-02
58,asset-003.corp.local,10.20.13.23,,00:16:3e:03:bb:0f,asset-003,asset-0003,10.20.13.23,,2026-05-31,2026-05-31,asset-003.corp.local,ASSET-003,default,Corporate,RHEL 8,RHEL 8,server,mva-sample,,,90003,cpe:/a:mva:databases,,5.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,5.0,E:F/RL:OF/RC:C,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,E:F/RL:O/RC:C,6.2,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,Microsoft SQL Server Unsupported Version was identified during the monthly vulnerability report.,0.491,No known exploits,false,false,Databases,,,,,200003,false,false,Microsoft SQL Server Unsupported Version,2026-01-20,2026-02-01,2026-05-31,1.0,https://learn.microsoft.com/sql/sql-server/end-of-support,https://learn.microsoft.com/sql/sql-server/end-of-support,Medium,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Medium,Microsoft SQL Server Unsupported Version,remote,true,,,,,,,,,,5.4,,,Unproven,0.54,,,,,,false,,,,,5.4,2025-01-15,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,2026-01-20,patch,2026-04-03,vuln-200003-10.20.13.23,,2026-05-31,Microsoft SQL Server Unsupported Version detected on 10.20.13.23:1433.,1433,tcp,,,false,scan-202605,10.20.13.23,Medium,true,tenable.io,open,,58,2026-05-03
57,asset-004.corp.local,10.20.14.24,,00:16:3e:04:bb:14,asset-004,asset-0004,10.20.14.24,,2026-05-31,2026-05-31,asset-004.corp.local,ASSET-004,default,Corporate,Appliance OS,Appliance OS,server,mva-sample,,,90004,cpe:/a:mva:general,CVE-2023-0286,2.6,AV:N/AC:L/Au:N/C:P/I:P/A:P,2.6,E:F/RL:OF/RC:C,3.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,E:F/RL:O/RC:C,3.5,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,OpenSSL Security Update Available was identified during the monthly vulnerability report.,0.218,No known exploits,false,false,General,,,,,200004,false,false,OpenSSL Security Update Available,2026-01-20,2026-02-01,2026-05-31,1.0,https://www.openssl.org/news/vulnerabilities.html,https://www.openssl.org/news/vulnerabilities.html,Low,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Low,OpenSSL Security Update Available,remote,false,,,,,,,,,,2.4,CVE-2023-0286,,Unproven,0.24,,,,,,false,,,,,2.4,2025-01-15,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",2026-01-20,patch,2026-04-04,vuln-200004-10.20.14.24,,2026-05-31,OpenSSL Security Update Available detected on 10.20.14.24:443.,443,tcp,,,false,scan-202605,10.20.14.24,Low,true,tenable.io,open,,57,2026-05-04
56,asset-005.corp.local,10.20.15.25,,00:16:3e:05:bb:19,asset-005,asset-0005,10.20.15.25,,2026-05-31,2026-05-31,asset-005.corp.local,ASSET-005,default,Corporate,Windows Server 2019,Windows Server 2019,server,mva-sample,,,90005,cpe:/a:mva:windows,,9.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,E:F/RL:OF/RC:C,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,E:F/RL:O/RC:C,9.4,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,Remote Desktop Weak Encryption Enabled was identified during the monthly vulnerability report.,0.891,Functional,true,true,Windows,,,,,200005,false,true,Remote Desktop Weak Encryption Enabled,2026-01-20,2026-02-01,2026-05-31,1.0,https://www.tenable.com/plugins,https://www.tenable.com/plugins,Critical,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Critical,Remote Desktop Weak Encryption Enabled,remote,false,,,,,,,,,,9.8,,,Functional,0.95,,,,,,false,,,,,9.8,2025-01-15,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",2026-01-20,patch,2026-04-05,vuln-200005-10.20.15.25,,2026-05-31,Remote Desktop Weak Encryption Enabled detected on 10.20.15.25:3389.,3389,tcp,,,false,scan-202605,10.20.15.25,Critical,true,tenable.io,open,,56,2026-05-05
55,asset-006.corp.local,10.20.16.26,,00:16:3e:06:bb:1e,asset-006,asset-0006,10.20.16.26,,2026-05-31,2026-05-31,asset-006.corp.local,ASSET-006,default,Corporate,Ubuntu 22.04,Ubuntu 22.04,server,mva-sample,,,90006,cpe:/a:mva:web_servers,CVE-2025-2345,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,E:F/RL:OF/RC:C,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,E:F/RL:O/RC:C,8.0,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,Nginx Security Update Available was identified during the monthly vulnerability report.,0.673,No known exploits,false,false,Web Servers,,,,,200006,false,false,Nginx Security Update Available,2026-01-20,2026-02-01,2026-05-31,1.0,https://nginx.org/en/security_advisories.html,https://nginx.org/en/security_advisories.html,High,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",High,Nginx Security Update Available,remote,false,,,,,,,,,,7.4,CVE-2025-2345,,Unproven,0.74,,,,,,false,,,,,7.4,2025-01-15,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",2026-01-20,patch,2026-04-06,vuln-200006-10.20.16.26,,2026-05-31,Nginx Security Update Available detected on 10.20.16.26:443.,443,tcp,,,false,scan-202605,10.20.16.26,High,true,tenable.io,open,,55,2026-05-06
54,asset-007.corp.local,10.20.17.27,,00:16:3e:07:bb:23,asset-007,asset-0007,10.20.17.27,,2026-05-31,2026-05-31,asset-007.corp.local,ASSET-007,default,Corporate,RHEL 8,RHEL 8,server,mva-sample,,,90007,cpe:/a:mva:windows,,5.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,5.0,E:F/RL:OF/RC:C,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,E:F/RL:O/RC:C,6.2,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,SMB Signing Not Required was identified during the monthly vulnerability report.,0.527,Functional,false,true,Windows,,,,,200007,false,false,SMB Signing Not Required,2026-01-20,2026-02-01,2026-05-31,1.0,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,Medium,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,Medium,SMB Signing Not Required,remote,false,,,,,,,,,,5.8,,,Functional,0.58,,,,,,false,,,,,5.8,2025-01-15,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,2026-01-20,patch,2026-04-07,vuln-200007-10.20.17.27,,2026-05-31,SMB Signing Not Required detected on 10.20.17.27:445.,445,tcp,,,false,scan-202605,10.20.17.27,Medium,true,tenable.io,open,,54,2026-05-07
53,asset-008.corp.local,10.20.18.28,,00:16:3e:08:bb:28,asset-008,asset-0008,10.20.18.28,,2026-05-31,2026-05-31,asset-008.corp.local,ASSET-008,default,Corporate,Appliance OS,Appliance OS,server,mva-sample,,,90008,cpe:/a:mva:general,CVE-2024-20919,2.6,AV:N/AC:L/Au:N/C:P/I:P/A:P,2.6,E:F/RL:OF/RC:C,3.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,E:F/RL:O/RC:C,3.5,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,Oracle Java Unsupported Version was identified during the monthly vulnerability report.,0.218,No known exploits,false,false,General,,,,,200008,false,false,Oracle Java Unsupported Version,2026-01-20,2026-02-01,2026-05-31,1.0,https://www.tenable.com/plugins,https://www.tenable.com/plugins,Low,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Low,Oracle Java Unsupported Version,remote,true,,,,,,,,,,2.4,CVE-2024-20919,,Unproven,0.24,,,,,,false,,,,,2.4,2025-01-15,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,2026-01-20,patch,2026-04-08,vuln-200008-10.20.18.28,,2026-05-31,Oracle Java Unsupported Version detected on 10.20.18.28:0.,0,tcp,,,false,scan-202605,10.20.18.28,Low,true,tenable.io,open,,53,2026-05-08
52,asset-009.corp.local,10.20.10.29,,00:16:3e:09:bb:2d,asset-009,asset-0009,10.20.10.29,,2026-05-31,2026-05-31,asset-009.corp.local,ASSET-009,default,Corporate,Windows Server 2019,Windows Server 2019,server,mva-sample,,,90009,cpe:/a:mva:linux,CVE-2024-1086,9.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,E:F/RL:OF/RC:C,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,E:F/RL:O/RC:C,9.4,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,Linux Kernel Security Update Available was identified during the monthly vulnerability report.,0.855,No known exploits,false,false,Linux,,,,,200009,false,false,Linux Kernel Security Update Available,2026-01-20,2026-02-01,2026-05-31,1.0,https://www.tenable.com/plugins,https://www.tenable.com/plugins,Critical,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Critical,Linux Kernel Security Update Available,remote,false,,,,,,,,,,9.4,CVE-2024-1086,,Unproven,0.94,,,,,,false,,,,,9.4,2025-01-15,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",2026-01-20,patch,2026-04-09,vuln-200009-10.20.10.29,,2026-05-31,Linux Kernel Security Update Available detected on 10.20.10.29:0.,0,tcp,,,false,scan-202605,10.20.10.29,Critical,true,tenable.io,open,,52,2026-05-09
51,asset-010.corp.local,10.20.11.30,,00:16:3e:0a:bb:32,asset-010,asset-0010,10.20.11.30,,2026-05-31,2026-05-31,asset-010.corp.local,ASSET-010,default,Corporate,Ubuntu 22.04,Ubuntu 22.04,server,mva-sample,,,90010,cpe:/a:mva:ssl,,7.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,E:F/RL:OF/RC:C,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,E:F/RL:O/RC:C,8.0,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CWE-20,TLS 1.0 Protocol Detection was identified during the monthly vulnerability report.,0.709,Functional,true,true,SSL,,,,,200010,false,true,TLS 1.0 Protocol Detection,2026-01-20,2026-02-01,2026-05-31,1.0,https://www.tenable.com/plugins,https://www.tenable.com/plugins,High,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the service.",High,TLS 1.0 Protocol Detection,remote,false,,,,,,,,,,7.8,,,Functional,0.78,,,,,,false,,,,,7.8,2025-01-15,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the service.",2026-01-20,patch,2026-04-10,vuln-200010-10.20.11.30,,2026-05-31,TLS 1.0 Protocol Detection detected on 10.20.11.30:443.,443,tcp,,,false,scan-202605,10.20.11.30,High,true,tenable.io,open,,51,2026-05-10
