Vulnerability Priority Rating,Exploit Prediction Scoring System (EPSS),IP Address,Protocol,Port,ACR,AES,Exploit?,Repository,MAC Address,DNS Name,NetBIOS Name,Plugin Output,Synopsis,Description,Steps to Remediate,Risk Factor,STIG Severity,CVSS V2 Base Score,CVSS V3 Base Score,CVSS V4 Base Score,CVSS V2 Temporal Score,CVSS V3 Temporal Score,CVSS V4 Threat Score,CVSS V2 Vector,CVSS V3 Vector,CVSS V4 Vector,CVSS V4 Threat Vector,CVSS V4 Supplemental,CPE,CVE,BID,Cross References,First Discovered,Last Observed,Vuln Publication Date,Security End of Life Date,Patch Publication Date,Plugin Publication Date,Plugin Modification Date,Exploit Ease,Exploit Frameworks,Check Type,Version,Recast Risk Comment,Accept Risk Comment,Agent ID,Host ID,Nessus Web Tests,Thorough Tests,Scan Accuracy,Plugin Name,Family,Plugin,Severity,See Also
9.8,0.891,10.20.11.21,tcp,8009,701,651,Yes,MVA Sample Repository,00:16:3e:01:aa:07,asset-001.corp.local,ASSET-001,Apache Tomcat AJP Request Injection detected on 10.20.11.21:8009.,Apache Tomcat AJP Request Injection,Apache Tomcat AJP Request Injection was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Critical,Critical,9.0,9.8,9.4,9.0,9.8,9.4,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:web_servers,CVE-2020-1938,90001,https://tomcat.apache.org/security-9.html,2026-04-01,2026-05-31,2025-01-15,,2026-01-20,2026-02-01,2026-05-31,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0001,host-0001,No,Yes,High,Apache Tomcat AJP Request Injection,Web Servers,200001,Critical,https://tomcat.apache.org/security-9.html
7.8,0.709,10.20.12.22,tcp,8080,702,652,Yes,MVA Sample Repository,00:16:3e:02:aa:0e,asset-002.corp.local,ASSET-002,Apache Log4j Remote Code Execution detected on 10.20.12.22:8080.,Apache Log4j Remote Code Execution,Apache Log4j Remote Code Execution was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",High,High,7.5,8.1,8.0,7.5,8.1,8.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:web_servers,CVE-2021-44228,90002,https://logging.apache.org/log4j/2.x/security.html,2026-04-02,2026-05-31,2025-01-15,,2026-01-20,2026-02-01,2026-05-31,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0002,host-0002,No,Yes,High,Apache Log4j Remote Code Execution,Web Servers,200002,High,https://logging.apache.org/log4j/2.x/security.html
5.4,0.491,10.20.13.23,tcp,1433,703,653,No,MVA Sample Repository,00:16:3e:03:aa:15,asset-003.corp.local,ASSET-003,Microsoft SQL Server Unsupported Version detected on 10.20.13.23:1433.,Microsoft SQL Server Unsupported Version,Microsoft SQL Server Unsupported Version was identified during the monthly vulnerability report.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Medium,Medium,5.0,6.5,6.2,5.0,6.5,6.2,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:databases,,90003,https://learn.microsoft.com/sql/sql-server/end-of-support,2026-04-03,2026-05-31,2025-01-15,2026-12-31,2026-01-20,2026-02-01,2026-05-31,No known exploits,,Remote,1.0,,,agent-0003,host-0003,No,Yes,High,Microsoft SQL Server Unsupported Version,Databases,200003,Medium,https://learn.microsoft.com/sql/sql-server/end-of-support
2.4,0.218,10.20.14.24,tcp,443,704,654,No,MVA Sample Repository,00:16:3e:04:aa:1c,asset-004.corp.local,ASSET-004,OpenSSL Security Update Available detected on 10.20.14.24:443.,OpenSSL Security Update Available,OpenSSL Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Low,Low,2.6,3.7,3.5,2.6,3.7,3.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:general,CVE-2023-0286,90004,https://www.openssl.org/news/vulnerabilities.html,2026-04-04,2026-05-31,2025-01-15,,2026-01-20,2026-02-01,2026-05-31,No known exploits,,Remote,1.0,,,agent-0004,host-0004,No,Yes,High,OpenSSL Security Update Available,General,200004,Low,https://www.openssl.org/news/vulnerabilities.html
9.8,0.891,10.20.15.25,tcp,3389,705,655,Yes,MVA Sample Repository,00:16:3e:05:aa:23,asset-005.corp.local,ASSET-005,Remote Desktop Weak Encryption Enabled detected on 10.20.15.25:3389.,Remote Desktop Weak Encryption Enabled,Remote Desktop Weak Encryption Enabled was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Critical,Critical,9.0,9.8,9.4,9.0,9.8,9.4,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:windows,,90005,https://www.tenable.com/plugins,2026-04-05,2026-05-31,2025-01-15,,2026-01-20,2026-02-01,2026-05-31,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0005,host-0005,No,Yes,High,Remote Desktop Weak Encryption Enabled,Windows,200005,Critical,https://www.tenable.com/plugins
7.4,0.673,10.20.16.26,tcp,443,706,656,No,MVA Sample Repository,00:16:3e:06:aa:2a,asset-006.corp.local,ASSET-006,Nginx Security Update Available detected on 10.20.16.26:443.,Nginx Security Update Available,Nginx Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",High,High,7.5,8.1,8.0,7.5,8.1,8.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:web_servers,CVE-2025-2345,90006,https://nginx.org/en/security_advisories.html,2026-04-06,2026-05-31,2025-01-15,,2026-01-20,2026-02-01,2026-05-31,No known exploits,,Remote,1.0,,,agent-0006,host-0006,No,Yes,High,Nginx Security Update Available,Web Servers,200006,High,https://nginx.org/en/security_advisories.html
5.8,0.527,10.20.17.27,tcp,445,707,657,Yes,MVA Sample Repository,00:16:3e:07:aa:31,asset-007.corp.local,ASSET-007,SMB Signing Not Required detected on 10.20.17.27:445.,SMB Signing Not Required,SMB Signing Not Required was identified during the monthly vulnerability report.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,Medium,Medium,5.0,6.5,6.2,5.0,6.5,6.2,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:windows,,90007,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,2026-04-07,2026-05-31,2025-01-15,,2026-01-20,2026-02-01,2026-05-31,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0007,host-0007,No,Yes,High,SMB Signing Not Required,Windows,200007,Medium,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always
2.4,0.218,10.20.18.28,tcp,0,708,658,No,MVA Sample Repository,00:16:3e:08:aa:38,asset-008.corp.local,ASSET-008,Oracle Java Unsupported Version detected on 10.20.18.28:0.,Oracle Java Unsupported Version,Oracle Java Unsupported Version was identified during the monthly vulnerability report.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Low,Low,2.6,3.7,3.5,2.6,3.7,3.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:general,CVE-2024-20919,90008,https://www.tenable.com/plugins,2026-04-08,2026-05-31,2025-01-15,2026-12-31,2026-01-20,2026-02-01,2026-05-31,No known exploits,,Remote,1.0,,,agent-0008,host-0008,No,Yes,High,Oracle Java Unsupported Version,General,200008,Low,https://www.tenable.com/plugins
9.4,0.855,10.20.10.29,tcp,0,709,659,No,MVA Sample Repository,00:16:3e:09:aa:3f,asset-009.corp.local,ASSET-009,Linux Kernel Security Update Available detected on 10.20.10.29:0.,Linux Kernel Security Update Available,Linux Kernel Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Critical,Critical,9.0,9.8,9.4,9.0,9.8,9.4,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:linux,CVE-2024-1086,90009,https://www.tenable.com/plugins,2026-04-09,2026-05-31,2025-01-15,,2026-01-20,2026-02-01,2026-05-31,No known exploits,,Remote,1.0,,,agent-0009,host-0009,No,Yes,High,Linux Kernel Security Update Available,Linux,200009,Critical,https://www.tenable.com/plugins
7.8,0.709,10.20.11.30,tcp,443,710,660,Yes,MVA Sample Repository,00:16:3e:0a:aa:46,asset-010.corp.local,ASSET-010,TLS 1.0 Protocol Detection detected on 10.20.11.30:443.,TLS 1.0 Protocol Detection,TLS 1.0 Protocol Detection was identified during the monthly vulnerability report.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the service.",High,High,7.5,8.1,8.0,7.5,8.1,8.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:ssl,,90010,https://www.tenable.com/plugins,2026-04-10,2026-05-31,2025-01-15,,2026-01-20,2026-02-01,2026-05-31,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0010,host-0010,No,Yes,High,TLS 1.0 Protocol Detection,SSL,200010,High,https://www.tenable.com/plugins
