"Tool","Asset Type","IP Address","DNS Name","Host Name","Team Name","OS Name"
"CrowdStrike Exposure Management","Windows Server","10.40.1.20","cs-asset-001.corp.example","cs-asset-001","Windows Operations","Windows Server 2022"
"CrowdStrike Exposure Management","Linux Server","10.40.1.21","cs-asset-002.corp.example","cs-asset-002","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Linux Server","10.40.1.22","cs-asset-003.corp.example","cs-asset-003","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Linux Server","10.40.1.23","cs-asset-004.corp.example","cs-asset-004","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Windows Server","10.40.1.24","cs-asset-005.corp.example","cs-asset-005","Windows Operations","Windows Server 2022"
"CrowdStrike Exposure Management","Linux Server","10.40.1.25","cs-asset-006.corp.example","cs-asset-006","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Linux Server","10.40.1.26","cs-asset-007.corp.example","cs-asset-007","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Windows Server","10.40.1.27","cs-asset-008.corp.example","cs-asset-008","Windows Operations","Windows Server 2022"
"CrowdStrike Exposure Management","Windows Server","10.40.1.28","cs-asset-009.corp.example","cs-asset-009","Windows Operations","Windows Server 2022"
"CrowdStrike Exposure Management","Linux Server","10.40.1.29","cs-asset-010.corp.example","cs-asset-010","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Linux Server","10.40.1.30","cs-asset-011.corp.example","cs-asset-011","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Linux Server","10.40.1.31","cs-asset-012.corp.example","cs-asset-012","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Windows Server","10.40.1.32","cs-asset-013.corp.example","cs-asset-013","Windows Operations","Windows Server 2022"
"CrowdStrike Exposure Management","Linux Server","10.40.1.33","cs-asset-014.corp.example","cs-asset-014","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Linux Server","10.40.1.34","cs-asset-015.corp.example","cs-asset-015","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Windows Server","10.40.1.35","cs-asset-016.corp.example","cs-asset-016","Windows Operations","Windows Server 2022"
"CrowdStrike Exposure Management","Windows Server","10.40.1.36","cs-asset-017.corp.example","cs-asset-017","Windows Operations","Windows Server 2022"
"CrowdStrike Exposure Management","Linux Server","10.40.1.37","cs-asset-018.corp.example","cs-asset-018","Linux Operations","Ubuntu 22.04 LTS"
"CrowdStrike Exposure Management","Linux Server","10.40.1.38","cs-asset-019.corp.example","cs-asset-019","Linux Operations","Ubuntu 22.04 LTS"
