"Tool","Asset Type","IP Address","DNS Name","Host Name","Team Name","OS Name"
"Red Hat OpenShift","Container Platform","10.75.1.10","payments/api-1","payments/api-1","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.11","identity/api-2","identity/api-2","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.12","customer-portal/api-3","customer-portal/api-3","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.13","analytics/api-4","analytics/api-4","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.14","integration/api-5","integration/api-5","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.15","monitoring/api-1","monitoring/api-1","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.16","shared-services/api-2","shared-services/api-2","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.17","edge/api-3","edge/api-3","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.18","payments/worker-4","payments/worker-4","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.19","identity/worker-5","identity/worker-5","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.20","customer-portal/worker-1","customer-portal/worker-1","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.21","analytics/worker-2","analytics/worker-2","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.22","integration/worker-3","integration/worker-3","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.23","monitoring/worker-4","monitoring/worker-4","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.24","shared-services/worker-5","shared-services/worker-5","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.25","edge/worker-1","edge/worker-1","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.26","payments/web-2","payments/web-2","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.27","identity/web-3","identity/web-3","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.28","customer-portal/web-4","customer-portal/web-4","Container Platform Operations","Red Hat OpenShift Container Platform"
"Red Hat OpenShift","Container Platform","10.75.1.29","analytics/web-5","analytics/web-5","Container Platform Operations","Red Hat OpenShift Container Platform"
