"IP Address","DNS Name"
"10.75.1.40","shared-services/scheduler-1"
"10.75.1.18","payments/worker-4"
"10.75.1.11","identity/api-2"
"10.75.1.16","shared-services/api-2"
"10.85.1.68","ep-openshift-089.example.internal"
"10.85.1.53","win-openshift-074.example.internal"
"10.75.1.26","payments/web-2"
"10.75.1.43","identity/gateway-4"
"10.75.1.28","customer-portal/web-4"
"10.85.1.78","ep-openshift-099.example.internal"
"10.75.1.14","integration/api-5"
"10.85.1.71","ep-openshift-092.example.internal"
"10.85.1.34","lnx-openshift-055.example.internal"
"10.75.1.32","shared-services/web-3"
"10.85.1.37","db-openshift-058.example.internal"
"10.85.1.30","win-openshift-051.example.internal"
"10.85.1.65","ep-openshift-086.example.internal"
"10.85.1.56","net-openshift-077.example.internal"
"10.85.1.60","win-openshift-081.example.internal"
"10.75.1.37","analytics/scheduler-3"
"10.85.1.46","net-openshift-067.example.internal"
"10.75.1.21","analytics/worker-2"
"10.85.1.40","win-openshift-061.example.internal"
"10.85.1.50","db-openshift-071.example.internal"
"10.75.1.42","payments/gateway-3"
"10.85.1.61","win-openshift-082.example.internal"
"10.75.1.29","analytics/web-5"
"10.75.1.20","customer-portal/worker-1"
"10.85.1.58","cld-openshift-079.example.internal"
"10.75.1.33","edge/web-4"
"10.85.1.42","net-openshift-063.example.internal"
"10.85.1.51","ep-openshift-072.example.internal"
"10.85.1.22","net-openshift-043.example.internal"
"10.85.1.70","sec-openshift-091.example.internal"
"10.85.1.24","cld-openshift-045.example.internal"
"10.85.1.59","virt-openshift-080.example.internal"
"10.75.1.13","analytics/api-4"
"10.85.1.69","win-openshift-090.example.internal"
"10.85.1.75","cld-openshift-096.example.internal"
"10.75.1.10","payments/api-1"
"10.85.1.77","virt-openshift-098.example.internal"
"10.75.1.38","integration/scheduler-4"
"10.85.1.55","net-openshift-076.example.internal"
"10.85.1.38","sec-openshift-059.example.internal"
"10.85.1.48","ep-openshift-069.example.internal"
"10.85.1.21","net-openshift-042.example.internal"
"10.75.1.22","integration/worker-3"
"10.75.1.49","edge/gateway-5"
"10.85.1.47","sec-openshift-068.example.internal"
"10.85.1.39","virt-openshift-060.example.internal"
"10.85.1.79","cld-openshift-100.example.internal"
"10.85.1.62","virt-openshift-083.example.internal"
"198.51.25.20","unmanaged-openshift-1.example.net"
"203.0.113.70","contractor-openshift-1.example.net"
"192.0.2.70","lab-openshift-1.external.example"
"10.75.1.40","shared-services/scheduler-1"
"10.75.1.18","payments/worker-4"
