"IP Address","DNS Name"
"10.30.18.28","asset-008.corp.local"
"10.82.1.56","sec-qualys-077.example.internal"
"10.82.1.23","win-qualys-044.example.internal"
"10.82.1.70","cld-qualys-091.example.internal"
"10.30.16.26","asset-006.corp.local"
"10.30.10.47","asset-027.corp.local"
"10.82.1.74","net-qualys-095.example.internal"
"10.30.15.25","asset-005.corp.local"
"10.30.10.29","asset-009.corp.local"
"10.82.1.30","lnx-qualys-051.example.internal"
"10.82.1.29","cld-qualys-050.example.internal"
"10.82.1.67","lnx-qualys-088.example.internal"
"10.82.1.47","win-qualys-068.example.internal"
"10.82.1.69","lnx-qualys-090.example.internal"
"10.82.1.50","ep-qualys-071.example.internal"
"10.30.12.40","asset-020.corp.local"
"10.82.1.65","win-qualys-086.example.internal"
"10.30.13.23","asset-003.corp.local"
"10.82.1.59","lnx-qualys-080.example.internal"
"10.30.15.34","asset-014.corp.local"
"10.82.1.51","virt-qualys-072.example.internal"
"10.82.1.66","win-qualys-087.example.internal"
"10.30.13.41","asset-021.corp.local"
"10.82.1.34","cld-qualys-055.example.internal"
"10.82.1.24","virt-qualys-045.example.internal"
"10.82.1.26","cld-qualys-047.example.internal"
"10.30.16.35","asset-015.corp.local"
"10.82.1.53","cld-qualys-074.example.internal"
"10.30.10.56","asset-036.corp.local"
"10.82.1.48","cld-qualys-069.example.internal"
"10.82.1.57","db-qualys-078.example.internal"
"10.30.17.54","asset-034.corp.local"
"10.82.1.52","net-qualys-073.example.internal"
"10.30.14.42","asset-022.corp.local"
"10.82.1.27","win-qualys-048.example.internal"
"10.30.14.60","asset-040.corp.local"
"10.82.1.35","ep-qualys-056.example.internal"
"10.82.1.61","net-qualys-082.example.internal"
"10.82.1.46","lnx-qualys-067.example.internal"
"10.82.1.63","net-qualys-084.example.internal"
"10.82.1.78","db-qualys-099.example.internal"
"10.30.18.37","asset-017.corp.local"
"10.82.1.62","virt-qualys-083.example.internal"
"10.82.1.44","virt-qualys-065.example.internal"
"10.30.11.30","asset-010.corp.local"
"10.82.1.75","win-qualys-096.example.internal"
"10.82.1.71","db-qualys-092.example.internal"
"10.82.1.20","cld-qualys-041.example.internal"
"10.82.1.60","lnx-qualys-081.example.internal"
"10.82.1.25","net-qualys-046.example.internal"
"10.82.1.37","virt-qualys-058.example.internal"
"10.30.17.45","asset-025.corp.local"
"10.82.1.49","virt-qualys-070.example.internal"
"10.82.1.79","win-qualys-100.example.internal"
"10.82.1.41","virt-qualys-062.example.internal"
"10.30.11.21","asset-001.corp.local"
"10.82.1.64","net-qualys-085.example.internal"
"10.30.11.39","asset-019.corp.local"
"10.30.13.59","asset-039.corp.local"
"10.30.18.55","asset-035.corp.local"
"10.82.1.55","cld-qualys-076.example.internal"
"10.82.1.54","cld-qualys-075.example.internal"
"10.82.1.38","db-qualys-059.example.internal"
"10.30.15.43","asset-023.corp.local"
"10.82.1.68","net-qualys-089.example.internal"
"10.30.11.57","asset-037.corp.local"
"10.30.14.24","asset-004.corp.local"
"10.30.13.50","asset-030.corp.local"
"10.30.12.49","asset-029.corp.local"
"10.30.12.31","asset-011.corp.local"
"10.30.14.51","asset-031.corp.local"
"10.82.1.32","ep-qualys-053.example.internal"
"10.30.15.52","asset-032.corp.local"
"10.82.1.21","virt-qualys-042.example.internal"
"10.82.1.43","cld-qualys-064.example.internal"
"10.30.16.53","asset-033.corp.local"
"10.82.1.72","virt-qualys-093.example.internal"
"10.30.18.46","asset-026.corp.local"
"10.82.1.39","net-qualys-060.example.internal"
"10.30.14.33","asset-013.corp.local"
"198.51.22.24","unmanaged-qualys-5.example.net"
"203.0.113.44","contractor-qualys-5.example.net"
"192.0.2.44","lab-qualys-5.external.example"
"10.30.18.28","asset-008.corp.local"
"10.82.1.56","sec-qualys-077.example.internal"
