"Tool","Asset Type","IP Address","DNS Name","Host Name","Team Name","OS Name"
"Tenable.io","Windows Server","10.20.11.21","asset-001.corp.local","asset-001","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.12.22","asset-002.corp.local","asset-002","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.13.23","asset-003.corp.local","asset-003","Linux Operations","RHEL 8"
"Tenable.io","Endpoint","10.20.14.24","asset-004.corp.local","asset-004","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Windows Server","10.20.15.25","asset-005.corp.local","asset-005","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.16.26","asset-006.corp.local","asset-006","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.17.27","asset-007.corp.local","asset-007","Linux Operations","RHEL 8"
"Tenable.io","Linux Server","10.20.18.28","asset-008.corp.local","asset-008","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Windows Server","10.20.10.29","asset-009.corp.local","asset-009","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.11.30","asset-010.corp.local","asset-010","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.12.31","asset-011.corp.local","asset-011","Linux Operations","RHEL 8"
"Tenable.io","Endpoint","10.20.13.32","asset-012.corp.local","asset-012","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Windows Server","10.20.14.33","asset-013.corp.local","asset-013","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.15.34","asset-014.corp.local","asset-014","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.16.35","asset-015.corp.local","asset-015","Linux Operations","RHEL 8"
"Tenable.io","Linux Server","10.20.17.36","asset-016.corp.local","asset-016","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Windows Server","10.20.18.37","asset-017.corp.local","asset-017","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.10.38","asset-018.corp.local","asset-018","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.11.39","asset-019.corp.local","asset-019","Linux Operations","RHEL 8"
"Tenable.io","Endpoint","10.20.12.40","asset-020.corp.local","asset-020","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Windows Server","10.20.13.41","asset-021.corp.local","asset-021","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.14.42","asset-022.corp.local","asset-022","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.15.43","asset-023.corp.local","asset-023","Linux Operations","RHEL 8"
"Tenable.io","Linux Server","10.20.16.44","asset-024.corp.local","asset-024","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Windows Server","10.20.17.45","asset-025.corp.local","asset-025","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.18.46","asset-026.corp.local","asset-026","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.10.47","asset-027.corp.local","asset-027","Linux Operations","RHEL 8"
"Tenable.io","Endpoint","10.20.11.48","asset-028.corp.local","asset-028","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Windows Server","10.20.12.49","asset-029.corp.local","asset-029","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.13.50","asset-030.corp.local","asset-030","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.14.51","asset-031.corp.local","asset-031","Linux Operations","RHEL 8"
"Tenable.io","Linux Server","10.20.15.52","asset-032.corp.local","asset-032","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Windows Server","10.20.16.53","asset-033.corp.local","asset-033","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.17.54","asset-034.corp.local","asset-034","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.18.55","asset-035.corp.local","asset-035","Linux Operations","RHEL 8"
"Tenable.io","Endpoint","10.20.10.56","asset-036.corp.local","asset-036","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Windows Server","10.20.11.57","asset-037.corp.local","asset-037","Windows Operations","Windows Server 2019"
"Tenable.io","Linux Server","10.20.12.58","asset-038.corp.local","asset-038","Linux Operations","Ubuntu 22.04"
"Tenable.io","Linux Server","10.20.13.59","asset-039.corp.local","asset-039","Linux Operations","RHEL 8"
"Tenable.io","Linux Server","10.20.14.60","asset-040.corp.local","asset-040","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Database","10.81.1.20","db-tenable-io-041.example.internal","db-tenable-io-041","Database Operations","PostgreSQL 16"
"Tenable.io","Endpoint","10.81.1.21","ep-tenable-io-042.example.internal","ep-tenable-io-042","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Windows Server","10.81.1.22","win-tenable-io-043.example.internal","win-tenable-io-043","Windows Operations","Windows Server 2022"
"Tenable.io","Security Appliance","10.81.1.23","sec-tenable-io-044.example.internal","sec-tenable-io-044","Security Operations","Palo Alto PAN-OS 11"
"Tenable.io","Cloud Asset","10.81.1.24","cld-tenable-io-045.example.internal","cld-tenable-io-045","Cloud Platform","AWS EC2"
"Tenable.io","Windows Server","10.81.1.25","win-tenable-io-046.example.internal","win-tenable-io-046","Windows Operations","Windows Server 2022"
"Tenable.io","Network Device","10.81.1.26","net-tenable-io-047.example.internal","net-tenable-io-047","Network Engineering","Cisco IOS XE 17"
"Tenable.io","Linux Server","10.81.1.27","lnx-tenable-io-048.example.internal","lnx-tenable-io-048","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Security Appliance","10.81.1.28","sec-tenable-io-049.example.internal","sec-tenable-io-049","Security Operations","Palo Alto PAN-OS 11"
"Tenable.io","Windows Server","10.81.1.29","win-tenable-io-050.example.internal","win-tenable-io-050","Windows Operations","Windows Server 2022"
"Tenable.io","Cloud Asset","10.81.1.30","cld-tenable-io-051.example.internal","cld-tenable-io-051","Cloud Platform","AWS EC2"
"Tenable.io","Database","10.81.1.31","db-tenable-io-052.example.internal","db-tenable-io-052","Database Operations","PostgreSQL 16"
"Tenable.io","Network Device","10.81.1.32","net-tenable-io-053.example.internal","net-tenable-io-053","Network Engineering","Cisco IOS XE 17"
"Tenable.io","Endpoint","10.81.1.33","ep-tenable-io-054.example.internal","ep-tenable-io-054","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Endpoint","10.81.1.34","ep-tenable-io-055.example.internal","ep-tenable-io-055","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Linux Server","10.81.1.35","lnx-tenable-io-056.example.internal","lnx-tenable-io-056","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Linux Server","10.81.1.36","lnx-tenable-io-057.example.internal","lnx-tenable-io-057","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Virtualization Host","10.81.1.37","virt-tenable-io-058.example.internal","virt-tenable-io-058","Infrastructure Operations","VMware ESXi 8"
"Tenable.io","Linux Server","10.81.1.38","lnx-tenable-io-059.example.internal","lnx-tenable-io-059","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Cloud Asset","10.81.1.39","cld-tenable-io-060.example.internal","cld-tenable-io-060","Cloud Platform","AWS EC2"
"Tenable.io","Windows Server","10.81.1.40","win-tenable-io-061.example.internal","win-tenable-io-061","Windows Operations","Windows Server 2022"
"Tenable.io","Security Appliance","10.81.1.41","sec-tenable-io-062.example.internal","sec-tenable-io-062","Security Operations","Palo Alto PAN-OS 11"
"Tenable.io","Network Device","10.81.1.42","net-tenable-io-063.example.internal","net-tenable-io-063","Network Engineering","Cisco IOS XE 17"
"Tenable.io","Network Device","10.81.1.43","net-tenable-io-064.example.internal","net-tenable-io-064","Network Engineering","Cisco IOS XE 17"
"Tenable.io","Security Appliance","10.81.1.44","sec-tenable-io-065.example.internal","sec-tenable-io-065","Security Operations","Palo Alto PAN-OS 11"
"Tenable.io","Database","10.81.1.45","db-tenable-io-066.example.internal","db-tenable-io-066","Database Operations","PostgreSQL 16"
"Tenable.io","Database","10.81.1.46","db-tenable-io-067.example.internal","db-tenable-io-067","Database Operations","PostgreSQL 16"
"Tenable.io","Network Device","10.81.1.47","net-tenable-io-068.example.internal","net-tenable-io-068","Network Engineering","Cisco IOS XE 17"
