"IP Address","DNS Name"
"10.81.1.54","lnx-tenable-io-075.example.internal"
"10.81.1.34","ep-tenable-io-055.example.internal"
"10.81.1.53","cld-tenable-io-074.example.internal"
"10.81.1.71","net-tenable-io-092.example.internal"
"10.81.1.44","sec-tenable-io-065.example.internal"
"10.20.10.29","asset-009.corp.local"
"10.81.1.69","virt-tenable-io-090.example.internal"
"10.81.1.23","sec-tenable-io-044.example.internal"
"10.81.1.52","ep-tenable-io-073.example.internal"
"10.81.1.26","net-tenable-io-047.example.internal"
"10.81.1.45","db-tenable-io-066.example.internal"
"10.20.17.36","asset-016.corp.local"
"10.81.1.64","ep-tenable-io-085.example.internal"
"10.81.1.31","db-tenable-io-052.example.internal"
"10.81.1.50","virt-tenable-io-071.example.internal"
"10.20.16.26","asset-006.corp.local"
"10.20.14.24","asset-004.corp.local"
"10.81.1.65","db-tenable-io-086.example.internal"
"10.81.1.30","cld-tenable-io-051.example.internal"
"10.81.1.75","db-tenable-io-096.example.internal"
"10.20.17.45","asset-025.corp.local"
"10.20.13.41","asset-021.corp.local"
"10.20.12.58","asset-038.corp.local"
"10.20.15.52","asset-032.corp.local"
"10.81.1.77","lnx-tenable-io-098.example.internal"
"10.81.1.68","lnx-tenable-io-089.example.internal"
"10.81.1.20","db-tenable-io-041.example.internal"
"10.81.1.38","lnx-tenable-io-059.example.internal"
"10.20.17.54","asset-034.corp.local"
"10.81.1.62","net-tenable-io-083.example.internal"
"10.81.1.58","lnx-tenable-io-079.example.internal"
"10.20.11.30","asset-010.corp.local"
"10.20.14.51","asset-031.corp.local"
"10.81.1.27","lnx-tenable-io-048.example.internal"
"10.20.14.33","asset-013.corp.local"
"10.20.18.55","asset-035.corp.local"
"10.20.13.50","asset-030.corp.local"
"10.81.1.46","db-tenable-io-067.example.internal"
"10.20.15.25","asset-005.corp.local"
"10.20.13.32","asset-012.corp.local"
"10.20.10.38","asset-018.corp.local"
"10.20.15.43","asset-023.corp.local"
"10.81.1.49","cld-tenable-io-070.example.internal"
"10.20.18.37","asset-017.corp.local"
"10.20.13.59","asset-039.corp.local"
"10.81.1.22","win-tenable-io-043.example.internal"
"10.81.1.55","virt-tenable-io-076.example.internal"
"10.20.16.35","asset-015.corp.local"
"10.81.1.72","cld-tenable-io-093.example.internal"
"10.81.1.57","db-tenable-io-078.example.internal"
"10.20.12.31","asset-011.corp.local"
"10.81.1.59","win-tenable-io-080.example.internal"
"10.20.12.40","asset-020.corp.local"
"10.81.1.36","lnx-tenable-io-057.example.internal"
"10.81.1.21","ep-tenable-io-042.example.internal"
"10.81.1.47","net-tenable-io-068.example.internal"
"10.20.11.21","asset-001.corp.local"
"10.81.1.35","lnx-tenable-io-056.example.internal"
"10.81.1.29","win-tenable-io-050.example.internal"
"10.81.1.51","ep-tenable-io-072.example.internal"
"10.81.1.78","cld-tenable-io-099.example.internal"
"10.20.10.56","asset-036.corp.local"
"10.81.1.42","net-tenable-io-063.example.internal"
"10.20.12.22","asset-002.corp.local"
"10.20.16.44","asset-024.corp.local"
"10.81.1.39","cld-tenable-io-060.example.internal"
"10.81.1.43","net-tenable-io-064.example.internal"
"10.81.1.73","win-tenable-io-094.example.internal"
"10.81.1.70","virt-tenable-io-091.example.internal"
"10.81.1.25","win-tenable-io-046.example.internal"
"10.81.1.28","sec-tenable-io-049.example.internal"
"10.20.18.46","asset-026.corp.local"
"10.81.1.66","ep-tenable-io-087.example.internal"
"10.81.1.37","virt-tenable-io-058.example.internal"
"10.81.1.61","cld-tenable-io-082.example.internal"
"10.81.1.63","sec-tenable-io-084.example.internal"
"198.51.21.22","unmanaged-tenable-io-3.example.net"
"203.0.113.32","contractor-tenable-io-3.example.net"
"192.0.2.32","lab-tenable-io-3.external.example"
"10.81.1.54","lnx-tenable-io-075.example.internal"
"10.81.1.34","ep-tenable-io-055.example.internal"
