"Tool","Asset Type","IP Address","DNS Name","Host Name","Team Name","OS Name"
"Tenable.sc","Linux Server","10.20.11.21","asset-001.corp.local","asset-001","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.sc","Windows Server","10.20.12.22","asset-002.corp.local","asset-002","Windows Operations","Windows Server 2022"
"Tenable.sc","Database","10.20.13.23","asset-003.corp.local","asset-003","Database Operations","PostgreSQL 16"
"Tenable.sc","Database","10.20.14.24","asset-004.corp.local","asset-004","Database Operations","PostgreSQL 16"
"Tenable.sc","Endpoint","10.20.15.25","asset-005.corp.local","asset-005","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.sc","Security Appliance","10.20.16.26","asset-006.corp.local","asset-006","Security Operations","Palo Alto PAN-OS 11"
"Tenable.sc","Cloud Asset","10.20.17.27","asset-007.corp.local","asset-007","Cloud Platform","AWS EC2"
"Tenable.sc","Virtualization Host","10.20.18.28","asset-008.corp.local","asset-008","Infrastructure Operations","VMware ESXi 8"
"Tenable.sc","Linux Server","10.20.10.29","asset-009.corp.local","asset-009","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.sc","Windows Server","10.20.11.30","asset-010.corp.local","asset-010","Windows Operations","Windows Server 2022"
"Tenable.sc","Network Device","10.20.12.31","asset-011.corp.local","asset-011","Network Engineering","Cisco IOS XE 17"
"Tenable.sc","Database","10.20.13.32","asset-012.corp.local","asset-012","Database Operations","PostgreSQL 16"
"Tenable.sc","Database","10.20.14.33","asset-013.corp.local","asset-013","Database Operations","PostgreSQL 16"
"Tenable.sc","Security Appliance","10.20.15.34","asset-014.corp.local","asset-014","Security Operations","Palo Alto PAN-OS 11"
"Tenable.sc","Cloud Asset","10.20.16.35","asset-015.corp.local","asset-015","Cloud Platform","AWS EC2"
"Tenable.sc","Virtualization Host","10.20.17.36","asset-016.corp.local","asset-016","Infrastructure Operations","VMware ESXi 8"
"Tenable.sc","Linux Server","10.20.18.37","asset-017.corp.local","asset-017","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.sc","Windows Server","10.20.10.38","asset-018.corp.local","asset-018","Windows Operations","Windows Server 2022"
"Tenable.sc","Linux Server","10.20.11.39","asset-019.corp.local","asset-019","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.sc","Database","10.20.12.40","asset-020.corp.local","asset-020","Database Operations","PostgreSQL 16"
"Tenable.sc","Endpoint","10.20.13.41","asset-021.corp.local","asset-021","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.sc","Security Appliance","10.20.14.42","asset-022.corp.local","asset-022","Security Operations","Palo Alto PAN-OS 11"
"Tenable.sc","Database","10.20.15.43","asset-023.corp.local","asset-023","Database Operations","PostgreSQL 16"
"Tenable.sc","Virtualization Host","10.20.16.44","asset-024.corp.local","asset-024","Infrastructure Operations","VMware ESXi 8"
"Tenable.sc","Linux Server","10.20.17.45","asset-025.corp.local","asset-025","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.sc","Windows Server","10.20.18.46","asset-026.corp.local","asset-026","Windows Operations","Windows Server 2022"
"Tenable.sc","Network Device","10.20.10.47","asset-027.corp.local","asset-027","Network Engineering","Cisco IOS XE 17"
"Tenable.sc","Database","10.20.11.48","asset-028.corp.local","asset-028","Database Operations","PostgreSQL 16"
