"IP Address","DNS Name"
"10.80.1.75","sec-tenable-sc-096.example.internal"
"10.80.1.70","sec-tenable-sc-091.example.internal"
"10.80.1.53","db-tenable-sc-074.example.internal"
"10.80.1.50","db-tenable-sc-071.example.internal"
"10.80.1.52","sec-tenable-sc-073.example.internal"
"10.80.1.39","win-tenable-sc-060.example.internal"
"10.80.1.55","db-tenable-sc-076.example.internal"
"10.20.12.40","asset-020.corp.local"
"10.80.1.28","cld-tenable-sc-049.example.internal"
"10.80.1.58","sec-tenable-sc-079.example.internal"
"10.80.1.47","sec-tenable-sc-068.example.internal"
"10.80.1.68","net-tenable-sc-089.example.internal"
"10.80.1.32","net-tenable-sc-053.example.internal"
"10.20.16.35","asset-015.corp.local"
"10.80.1.36","net-tenable-sc-057.example.internal"
"10.80.1.33","lnx-tenable-sc-054.example.internal"
"10.80.1.20","cld-tenable-sc-041.example.internal"
"10.20.18.55","asset-035.corp.local"
"10.80.1.34","win-tenable-sc-055.example.internal"
"10.80.1.25","ep-tenable-sc-046.example.internal"
"10.80.1.51","virt-tenable-sc-072.example.internal"
"10.80.1.65","db-tenable-sc-086.example.internal"
"10.20.15.52","asset-032.corp.local"
"10.80.1.46","sec-tenable-sc-067.example.internal"
"10.80.1.24","cld-tenable-sc-045.example.internal"
"10.20.13.23","asset-003.corp.local"
"10.80.1.35","sec-tenable-sc-056.example.internal"
"10.20.16.44","asset-024.corp.local"
"10.80.1.54","ep-tenable-sc-075.example.internal"
"10.80.1.76","cld-tenable-sc-097.example.internal"
"10.80.1.23","cld-tenable-sc-044.example.internal"
"10.80.1.66","cld-tenable-sc-087.example.internal"
"10.80.1.78","net-tenable-sc-099.example.internal"
"10.20.17.54","asset-034.corp.local"
"10.20.11.57","asset-037.corp.local"
"10.80.1.56","virt-tenable-sc-077.example.internal"
"10.80.1.41","virt-tenable-sc-062.example.internal"
"10.20.12.49","asset-029.corp.local"
"10.80.1.22","win-tenable-sc-043.example.internal"
"10.20.18.46","asset-026.corp.local"
"10.20.17.36","asset-016.corp.local"
"10.20.15.34","asset-014.corp.local"
"10.80.1.73","lnx-tenable-sc-094.example.internal"
"10.20.12.22","asset-002.corp.local"
"10.20.11.21","asset-001.corp.local"
"10.80.1.29","lnx-tenable-sc-050.example.internal"
"10.20.10.56","asset-036.corp.local"
"10.80.1.38","db-tenable-sc-059.example.internal"
"10.20.15.25","asset-005.corp.local"
"10.80.1.63","db-tenable-sc-084.example.internal"
"10.80.1.37","net-tenable-sc-058.example.internal"
"10.20.14.24","asset-004.corp.local"
"10.80.1.21","db-tenable-sc-042.example.internal"
"10.80.1.69","ep-tenable-sc-090.example.internal"
"10.80.1.79","win-tenable-sc-100.example.internal"
"10.80.1.72","sec-tenable-sc-093.example.internal"
"10.20.10.29","asset-009.corp.local"
"10.80.1.67","net-tenable-sc-088.example.internal"
"10.20.12.31","asset-011.corp.local"
"10.80.1.74","win-tenable-sc-095.example.internal"
"10.20.13.59","asset-039.corp.local"
"10.20.14.33","asset-013.corp.local"
"10.20.16.26","asset-006.corp.local"
"10.20.12.58","asset-038.corp.local"
"10.80.1.59","virt-tenable-sc-080.example.internal"
"10.80.1.48","lnx-tenable-sc-069.example.internal"
"10.20.10.47","asset-027.corp.local"
"10.80.1.61","sec-tenable-sc-082.example.internal"
"10.80.1.42","lnx-tenable-sc-063.example.internal"
"10.20.15.43","asset-023.corp.local"
"10.80.1.45","ep-tenable-sc-066.example.internal"
"10.20.11.39","asset-019.corp.local"
"198.51.20.22","unmanaged-tenable-sc-3.example.net"
"203.0.113.22","contractor-tenable-sc-3.example.net"
"192.0.2.22","lab-tenable-sc-3.external.example"
"10.80.1.75","sec-tenable-sc-096.example.internal"
"10.80.1.70","sec-tenable-sc-091.example.internal"
